,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,TF-IDF scores,top_word
0,2015-07-23,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,""" The California Homeowner Bill of Rights became law on  , 2013 to ensure fair lending and borrowing practices for California homeowners. 
The laws are designed to guarantee basic fairness and transparency for homeowners in the foreclosure process '' IS IT FAIR THAT IF YOU WANT TO HAVE ANY REPRESENTATION BY AN ATTORNEY, IT MAY COSTS A MINIMUM OF {$8000.00}? AND THERE IS NO GUARNTEE THAT YOU WILL SUCEED IN YOUR MORTGAGE MODIFICATION. 
IS THE PROCESS TRANSPARENT & FAIR WHEN YOU HAVE TO EDUCATE YOURSELF AND RESEARCH FOR HOURS AND HOURS JUST TO FIND ANY INFORMATION THAT MAY HELP YOU IN THE LOAN MODIFICATON PROCESS, IT APPEARS IT TAKES A LAW DEGREE TO FIGURE ANY OF THIS OUT?? 
IS IT TRANSPARENT & FAIR WHEN YOU DO N'T KNOW WHAT THE UNDERWRITER 'S CRITERIA IS, SO YOU MAY PROVIDE THE NECESSARY DOCUMENTATION TO MEET THEIR GUIDELINES FOR THE APPROVAL OF YOUR MORTGAGE MODIFICATION PROCESS?? 
IS IT TRANSPARENT & FAIR WHEN THE LENDER REQUIRES THAT I SEND A COUPLE OF REAMS OF PAPER ( DOCUMENTATION ), SPEND A {$1.00} A PAGE TO FAX IT AND/OR SPEND {$50.00} OR MORE FOR POSTAGE TO SEND IT TO THEM, IS THAT FAIR?? I DO N'T HAVE A FANCY COPIER, FAX, SCANNER OR COMPUTER IN MY HOME LIKE YOU HAVE IN YOUR UNDERWRITER 'S OFFICE. 
IT IS FAIR THAT I HAVE TO WAIT 6 MONTHS TO HEAR FOR AN UNDERWRITERS DECISION, FIND OUT THAT YOU NEED ANOTHER REAM OF PAPER FAXED TO YOU. THAT 'S FAIR??? 
I DARE YOU LENDER TO COME IN MY HOME - INSTEAD OF SENDING SOME FIELD REP FROM THE  AREA TO TAKE PICTURES FROM THEIR CAR - YEP YOU CAN SEE THE  FLAG I FLY FOR MY SON, WHO MADE THE DECISION TO SERVE HIS COUNTRY AND YOU SEND ME A LETTER ASKING IF I 'M IN THE MILITARY?? COME INTO MY HOME AND SEE HOW I LIVE, SEE HOW I STRUGGLE AND WORRY ABOUT LOSING MY HOME BECAUSE I 'M WAITING FOR AN UNDERWRITER 'S DECISION??? WHO ARE THESE UNDERWRITER 'S???? 
THIS CA HOMEOWNER 'S BILL OF RIGHTS DOES NOT HELP THE HOMEOWNER WHO IS TRYING TO SAVE THEIR HOME FROM FORCLOSURE. I 'M TRYING TO KEEP  ELDERLY RETIRED FOLKS AND A FAIMLY OF  FROM BEING HOMELESS!! 
I 'M SORRY LAWMAKERS, NON-PROFITS, ( AKA HUD CERTIFIED COUNSELORS ), ATTORNEYS & STATE AGENCIES YOU GET TO UTILIZE THE   DOLLARS YOU RECEIVED FROM THESE LEDERS AND COVER YOUR SALARIES, OFFICES AND OVERHEAD - YOU ARE THE ONES PROFITING!! 
GET REAL - THERE IS NO TRANSPARCY AND WHAT IS YOUR DEFINITION OF BASIC FAIRNESS????",Company chooses not to provide a public response,"CITIBANK, N.A.",CA,95965,,True,Web,2015-07-30,Closed with explanation,True,True,1484039,[0. 0. 0. ... 0. 0. 0.],"['fair', 'process', 'underwriter']"
1,2021-12-09,Mortgage,FHA mortgage,Closing on a mortgage,,"Hello, I am trying to refinance my property and this is what i found out once i was going through the process. I have my current loan with Loancare, last year 2020 my mortgage was in forbearence for the total of 1 year. And when we resumed the payments after the year we were told that the amount will be deffered and put towards or loan and thats it. Nothing else complicated and we chose that option. But now i am finding out that they have put a lien towards my property and it not recorded as deffered and how they explained. On the top of that that have recorded it double the amount. No one in Loan care can explain. I really need to refinance but this is killing me with no explanation.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",VA,20136,,True,Web,2021-12-09,Closed with explanation,True,True,4991921,[0. 0. 0. ... 0. 0. 0.],"['year', 'killing', 'complicated']"
2,2016-09-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,"Bank of America has caused to be recorded NOD // on a Trust Deed that first became delinquent //. Bank of America has offered no explanation of the seven year delay in starting the foreclosure process with the recording of a NOD or for resting upon their laurels regarding exercising the right to foreclose. 
Bank of America has provided me with a payment history detailing a total of twenty-six regular payments and  corresponding miscellaneous adjustments between // through //, reflecting monthly installments applied from // to //, for a net total of twenty-four regular monthly installments made, accepted, and applied to the home loan mortgage account under the terms of the // Deed of Trust that is now in active foreclosure.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92114,,True,Web,2016-09-29,Closed with explanation,False,True,2138230,[0. 0. 0. ... 0. 0. 0.],"['foreclosure', 'nod', 'america']"
4,2021-12-09,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,"We have 2 loans w/ Loan Car . We were in a Forbearance plan for both, however we continued to make regular payments during the forbearance period. 

Loan Care misapplied or didnt properly credit our payments to the loans. 

Because were afraid of losing one home, & being forced to take a 40 year loan on another, that we only owe {$27000.00} on, were forced to find loans in order to borrow to payoff the loans. 

Loan Care wrote us saying we were in default on one, even though we followed their Modification terms properly & they are forcing us to refi for a unreasonable amount of time, 40 years on the other. 

We have asked for payoff letter verbally, multiple times & went to myloancare.com & requested a payoff. It took us over several weeks, after multiple requests to finally get one & the interest charged on the payoff letter is drastically Overstated. 

Theyre trying to charge us interest for a Full Year, instead of a month/fraction of a month. 

This interest Overcharge is added to our payoff statement & we believe that our Principal is overstated, because our payments were not applied Properly.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",IL,60471,Servicemember,True,Web,2021-12-09,Closed with explanation,True,True,4993695,[0. 0. 0. ... 0. 0. 0.],"['payoff', 'properly', 'forced']"
5,2016-01-05,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,"My husband has died and I am filing bankruptcy because of all his bills and other bills. 
Under the guidance of my bankruptcy lawyer i was told to just continue along with the mortgage payments and keep them all paid! As I have done! The finance company NEVER sent billings about 7mo after he died, i just kept paying them on the account number i had on the billings, even after billings stopped! I never received ANY mailings from them WHAT SO EVER! In the mean time I have signed the bankruptcy papers but NOT gone to court yet. Then I take it upon my self in good faith to call the finance co to see where the account stands, only to be told the account is now behind 3 months! And because I am not authorized with out being the Executor on the account they cant talk to me! So now not only do I have  payments missing on their end now it will cost me {$260.00} to file for executor. They told me they cant even talk to my lawyer! And    day after TRYING to get somewhere with them I RECEIVE (  ) mailings form them ALL saying the account is in default and NOW THEY want their money OR I WILL be OUT! I WANT to find out where my PAYMENTS went to! My bank verified the checks HAVE been cashed each month on the finance company 's end!!!! I have paid for yEARS to this ACCOUNT number,, but they HAVE another number I should of paid to! BUT NO NOTICES of this change ever came!! I am out my  payments of over {$800.00} PLUS now court cost AND lawyer referral charges to try to get help, plus a stop payment on my next payment i WILL NOT send because they LOST the last !! And NOW I KNOW they WILL hit me with late and penalty charges and who knows what else! I live on a {$810.00} per month SS check! I find what they ARE doing IS HARASSMENT plan and simple! they have forwarded this loan unto a collection division!",,"CITIBANK, N.A.",VT,05664,Older American,True,Web,2016-01-05,Closed with explanation,False,True,1729048,[0. 0. 0. ... 0. 0. 0.],"['account', 'lawyer', 'finance']"
6,2022-03-01,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,"I am writing this complaint in hopes the CFPB will step in and look at illegal activities being performed with my mortgage servicer PHH and   as the investor. I have been applying for mortgage assistance since //2018 and have applied numerous times for mortgage help. Each time I submit all required documents PHH denies my loan each time for different reason all along having foreclosure dates on my home while I'm applying for assistance which by CFPB regulations this is in violation of Dual Tracking Laws. I have asked PHH to consider my good faith payment of {$5000.00} towards the delinquency as good faith on my side trying to preserve my home but they ignore my cries for help. I have lost my husband and have struggled to maintain current. But now my financial income is stable and I'm able to afford my mortgage payment even if my mortgage payments go up I just need help with my loan. When I applied for help and they denied me they didn't tell me the exact reason for denial and did not provide me any other option to save my home. Please help me to save my piece of the American pie, my home.",,Ocwen Financial Corporation,CT,06239,Older American,True,Web,2022-03-01,Closed with explanation,True,True,5273876,[0. 0. 0. ... 0. 0. 0.],"['mortgage', 'help', 'faith']"
7,2021-10-21,Mortgage,FHA mortgage,Struggling to pay mortgage,,"In or about  2015 I had lost my job and was unable to make my Mortgage payments, that were roughly $ For ten months I wasn't able to pay so I applied for a home retention loan and was approved by ( Housing and Urban Development ) .As I mentioned earlier I fell behind 10 payments.H.U.D agreed to bring my mortgage current which should've been no more than {$18000.00} since the loan was interest free.Lakeview Mortgage Company some how came up with the conclusion that I had to pay over {$62000.00} to satisfy a Partial Loan Claim.I need to know how this number ( {$62000.00} ) was come to.I never signed any documents with that amount.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LAKEVIEW LOAN SERVICING, LLC",NJ,07206,Servicemember,True,Web,2021-10-21,Closed with explanation,True,True,4831612,[0. 0. 0. ... 0. 0. 0.],"['pay', 'mortgage', 'development']"
8,2022-02-14,Mortgage,Conventional home mortgage,Trouble during payment process,,"Mortgage company : Community Loan Servicing 1. I had my mortgage with    since I bought the house in . I applied for the forbearance due to COVID related issues. I did not pay my mortgage for about 7 months in . I started paying for my mortgage in // and I was in the process of applying for the mortgage modification. During the process my mortgage was moved to Community Loan Servicing. I've been paying for mortgage regularly and on time as I was in the "" trial '' period. The amount I paid per month was $ . I completed my trail period and made my last payment on //. I received a load modification documents telling me that going forward I have to pay {$2400.00}. That's not the amount I agreed to or was told to pay the last  months. I have 10 days to sign the documents but I'm refusing to because ( once again, that's not the amount I applied for or was told I'm going have to pay ). I contacted them multiple times and I've been on hold for about  minutes and no one picks up the phone. the contact information provided on the documents is wrong ( wrong phone number and wrong e-mail address ). 

2. The Community Loan Servicing also reported me to the credit burau and my credit score dropped  points. I contacted them ( once again ) and they are telling me I missed a payment, but it is not true. I've been paying on time each month, and I have my bank statement to prove it. Unfortunately, I am also in a process of buy a new car so this impacted me significantly.",,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",CT,06037,,True,Web,2022-02-14,Closed with explanation,True,True,5219315,[0. 0. 0. ... 0. 0. 0.],"['mortgage', 'pay', 'community']"
9,2016-12-01,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"I began a refinance with Citizens Bank. I paid a {$600.00} good faith deposit. Citizens sent out an appraiser who gave an extremely low appraisal ( {$160000.00} ) on my home. As a side note, I restarted the refinance process with  and got the house appraised at {$200000.00}. The low Citizens appraisal meant that I could not go forward with them as the loan products they offered based on that low appraisal were not satisfactory to me based on what we originally agreed to. I asked them to then refund my deposit and they refused. I took this up with Citizens and ultimately, they claimed the new  appraisal that I sent to them was wrong - although it was more in line with actual values in my town. Long story short, at every level they refused to refund my deposit. I understand the need for a deposit to make sure that I have "" skin in the game '' - however, in this case, their appraisal was the outlier and the reason that the agreed upon loan could not be completed. They insist that I signed documents that allow them to keep my deposit, but this is all on them. I would like Citizens to refund my deposit.",,"CITIZENS FINANCIAL GROUP, INC.",NJ,08107,,True,Web,2016-12-01,Closed with explanation,True,True,2232457,[0. 0. 0. ... 0. 0. 0.],"['deposit', 'appraisal', 'low']"
10,2016-08-02,Mortgage,FHA mortgage,Settlement process and costs,,"Complaint Description : Nationstar is basically making it impossible to finalize my HAMP loan modification after doing everything they said. I received a pay cut of about  % back in  2015 and my wife ( at the time ) lost her job in //. At that time, I applied for a loan modification. Made all trial payments on time, and since //, there is always a reason they can not finalize it. Now, we had agreed if I made a payment by  , and another by  , they could finalize it. On or around  , I scheduled my payment my payment to be taken from my account on //. I was then told they needed a code and could not process the payment and would call me back. After not receiving a call, I called them and told me I needed to speak with my loan specialist. The problem is, Ive never been able to get a hold of her, even after numerous messages. When you call Nationstar, it goes to her voicemail everytime and you have to press 0 to speak to a representative who knows nothing about my case. I kept calling saying I need to make a payment and once again, someone would call me. So I logged online to try and pay and for they first time every they blocked me from making a payment online. The thing is, I got a new job and could easily make the payments, but it seems like they just want to foreclose and I 'm not sure why. What they are doing is wrong-I 'm trying so hard, but they are literally making it impossible. If I was n't paying a divorce attorney, I would get one because there is no way they are following legal procedure.",,NATIONSTAR MORTGAGE LLC,GA,30188,,True,Web,2016-08-02,Closed with explanation,False,True,2042253,[0. 0. 0. ... 0. 0. 0.],"['payment', 'finalize', 'modification']"
